term,normalized_term,semantic_hint,category,jurisdiction,source_name,source_url,source_family,source_authority,source_authority_level,source_attested,derived_variant,parent_term,acronym,acronym_expansion,collision_risk,license_status,retrieval_date,notes,collision_census_name,cross_evidence_overlaps
Small Disadvantaged Business Concern,small disadvantaged business concern,ORGANIZATION,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,LOW,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Social Media,social media,DATA_SYSTEM,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,
Sole Source Acquisition,sole source acquisition,PROCUREMENT,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,LOW,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
SORN,sorn,DOCUMENT,PUBLIC_RECORDS,US_FEDERAL,Office of the Federal Register — Reader Aids / Rulemaking,https://www.federalregister.gov/reader-aids,FEDERAL_REGISTER,Office of the Federal Register,HIGH,True,False,System of Records Notice,SORN,System of Records Notice,MEDIUM,US_GOVERNMENT_WORK; terminology only,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,true,
Special Records/Special Media,special records/special media,RECORDS_INFORMATION,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,LOW,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,
Stakeholder,stakeholder,ROLE,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,HIGH,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,
Standard Authorized Organization Representative,standard authorized organization representative,ROLE,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,AOR,Authorized Organization Representative,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Standard Form 115,standard form 115,DOCUMENT,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,SF 115,Standard Form 115,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,source form,false,
State,state,GOVERNMENT_STRUCTURE,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,,,HIGH,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,grant-source jurisdictional term,true,
Student Financial Aid,student financial aid,PROGRAM_ADMIN,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,SFA,Student Financial Aid,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,cross-domain higher-ed overlap,false,higher_ed
Subaward,subaward,PROGRAM_ADMIN,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,,,HIGH,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Subrecipient,subrecipient,ROLE,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,,,HIGH,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Sunshine Act Meeting Notice,sunshine act meeting notice,DOCUMENT,PUBLIC_MEETINGS,US_FEDERAL,Office of the Federal Register — Reader Aids / Rulemaking,https://www.federalregister.gov/reader-aids,FEDERAL_REGISTER,Office of the Federal Register,HIGH,True,False,,,,LOW,US_GOVERNMENT_WORK; terminology only,2026-08-10,Federal Register notice subtype,false,
Synopsis of Funding Opportunity,synopsis of funding opportunity,DOCUMENT,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,,,LOW,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
System for Award Management,system for award management,DOCUMENT_SYSTEM,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,SAM,System for Award Management,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,explicit source acronym,false,
System of Records Notice,system of records notice,DOCUMENT,PUBLIC_RECORDS,US_FEDERAL,Office of the Federal Register — Reader Aids / Rulemaking,https://www.federalregister.gov/reader-aids,FEDERAL_REGISTER,Office of the Federal Register,HIGH,True,False,,SORN,System of Records Notice,MEDIUM,US_GOVERNMENT_WORK; terminology only,2026-08-10,Federal Register notice subtype,false,
Third Party Request,third party request,DOCUMENT,PUBLIC_RECORDS,US_FEDERAL,FOIA.gov — Glossary,https://www.foia.gov/data.html,FOIA_GOV,"U.S. Department of Justice, Office of Information Policy",HIGH,True,False,,,,LOW,DOJ_PUBLIC_DOMAIN_UNLESS_INDICATED; definitions not redistributed,2026-08-10,,false,
Title,title,EMPLOYMENT_ADMIN,GOVERNMENT_EMPLOYMENT,US_FEDERAL,OPM — Classification & Qualifications,https://www.opm.gov/policy-data-oversight/classification-qualifications/,OPM_CLASSIFICATION,U.S. Office of Personnel Management,HIGH,True,False,,,,HIGH,US_GOVERNMENT_WORK; terminology only,2026-08-10,OPM classification sense,true,
Total Number of Full-Time FOIA Staff,total number of full-time foia staff,EMPLOYMENT_ADMIN,PUBLIC_RECORDS,US_FEDERAL,FOIA.gov — Glossary,https://www.foia.gov/data.html,FOIA_GOV,"U.S. Department of Justice, Office of Information Policy",HIGH,True,False,,,,LOW,DOJ_PUBLIC_DOMAIN_UNLESS_INDICATED; definitions not redistributed,2026-08-10,,false,
TTB,ttb,ORGANIZATION,OFFICIAL_ORGANIZATION,US_FEDERAL,USAGov — A-Z Index of U.S. Government Departments and Agencies,https://www.usa.gov/agency-index,USAGOV_AGENCIES,USAGov / U.S. General Services Administration,HIGH,True,False,Alcohol and Tobacco Tax and Trade Bureau,TTB,Alcohol and Tobacco Tax and Trade Bureau,MEDIUM,US_GOVERNMENT_WORK; official organization names only,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,false,
U.S. Access Board,u.s. access board,ORGANIZATION,OFFICIAL_ORGANIZATION,US_FEDERAL,USAGov — A-Z Index of U.S. Government Departments and Agencies,https://www.usa.gov/agency-index,USAGOV_AGENCIES,USAGov / U.S. General Services Administration,HIGH,True,False,,,,LOW,US_GOVERNMENT_WORK; official organization names only,2026-08-10,official organization name; not generic terminology,false,
U.S. Agency for International Development,u.s. agency for international development,ORGANIZATION,OFFICIAL_ORGANIZATION,US_FEDERAL,USAGov — A-Z Index of U.S. Government Departments and Agencies,https://www.usa.gov/agency-index,USAGOV_AGENCIES,USAGov / U.S. General Services Administration,HIGH,True,False,,USAID,U.S. Agency for International Development,MEDIUM,US_GOVERNMENT_WORK; official organization names only,2026-08-10,official organization name,false,
U.S. Arctic Research Commission,u.s. arctic research commission,ORGANIZATION,OFFICIAL_ORGANIZATION,US_FEDERAL,USAGov — A-Z Index of U.S. Government Departments and Agencies,https://www.usa.gov/agency-index,USAGOV_AGENCIES,USAGov / U.S. General Services Administration,HIGH,True,False,,USARC,U.S. Arctic Research Commission,MEDIUM,US_GOVERNMENT_WORK; official organization names only,2026-08-10,official organization name,false,
U.S. Army Corps of Engineers,u.s. army corps of engineers,ORGANIZATION,OFFICIAL_ORGANIZATION,US_FEDERAL,USAGov — A-Z Index of U.S. Government Departments and Agencies,https://www.usa.gov/agency-index,USAGOV_AGENCIES,USAGov / U.S. General Services Administration,HIGH,True,False,,,,LOW,US_GOVERNMENT_WORK; official organization names only,2026-08-10,official organization name,false,
U.S. Department of Agriculture,u.s. department of agriculture,ORGANIZATION,OFFICIAL_ORGANIZATION,US_FEDERAL,USAGov — A-Z Index of U.S. Government Departments and Agencies,https://www.usa.gov/agency-index,USAGOV_AGENCIES,USAGov / U.S. General Services Administration,HIGH,True,False,,USDA,U.S. Department of Agriculture,MEDIUM,US_GOVERNMENT_WORK; official organization names only,2026-08-10,official organization name,false,
Unusual Circumstances,unusual circumstances,LEGAL_ADMIN,PUBLIC_RECORDS,US_FEDERAL,FOIA.gov — Glossary,https://www.foia.gov/data.html,FOIA_GOV,"U.S. Department of Justice, Office of Information Policy",HIGH,True,False,,,,MEDIUM,DOJ_PUBLIC_DOMAIN_UNLESS_INDICATED; definitions not redistributed,2026-08-10,,false,
USAID,usaid,ORGANIZATION,OFFICIAL_ORGANIZATION,US_FEDERAL,USAGov — A-Z Index of U.S. Government Departments and Agencies,https://www.usa.gov/agency-index,USAGOV_AGENCIES,USAGov / U.S. General Services Administration,HIGH,True,False,U.S. Agency for International Development,USAID,U.S. Agency for International Development,MEDIUM,US_GOVERNMENT_WORK; official organization names only,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,false,
USARC,usarc,ORGANIZATION,OFFICIAL_ORGANIZATION,US_FEDERAL,USAGov — A-Z Index of U.S. Government Departments and Agencies,https://www.usa.gov/agency-index,USAGOV_AGENCIES,USAGov / U.S. General Services Administration,HIGH,True,False,U.S. Arctic Research Commission,USARC,U.S. Arctic Research Commission,MEDIUM,US_GOVERNMENT_WORK; official organization names only,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,false,
USDA,usda,ORGANIZATION,OFFICIAL_ORGANIZATION,US_FEDERAL,USAGov — A-Z Index of U.S. Government Departments and Agencies,https://www.usa.gov/agency-index,USAGOV_AGENCIES,USAGov / U.S. General Services Administration,HIGH,True,False,U.S. Department of Agriculture,USDA,U.S. Department of Agriculture,MEDIUM,US_GOVERNMENT_WORK; official organization names only,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,false,
